45 C
195, -4191366, -54265.1041, -115.314624
196, -4040541, -54265.5344, -115.315538
197, -3890770, -54265.9646, -115.316452
198, -3747414, -54266.3948, -115.317366
199, -3615197, -54266.8251, -115.318281
200, -3497753, -54267.2553, -115.319195
201, -3397443, -54267.6855, -115.320109
202, -3315483, -54268.1158, -115.321023
203, -3252304, -54268.5460, -115.321938
204, -3207944, -54268.9762, -115.322852
205, -3182365, -54269.4064, -115.323766
206, -3175543, -54269.8367, -115.324680
207, -3187352, -54270.2669, -115.325595
208, -3217302, -54270.6971, -115.326509
209, -3264230, -54271.1274, -115.327423
210, -3326083, -54271.5576, -115.328337
211, -3399850, -54271.9878, -115.329252
212, -3481666, -54272.4180, -115.330166
213, -3567072, -54272.8483, -115.331080
214, -3651360, -54273.2785, -115.331994
215, -3729975, -54273.7087, -115.332909
216, -3798960, -54274.1390, -115.333823
217, -3855332, -54274.5692, -115.334737
218, -3897347, -54274.9994, -115.335651
219, -3924470, -54275.4296, -115.336566
220, -3937004, -54275.8599, -115.337480
221, -3935470, -54276.2901, -115.338394
222, -3919951, -54276.7203, -115.339308
223, -3889714, -54277.1506, -115.340223
224, -3843279, -54277.5808, -115.341137
225, -3778885, -54278.0110, -115.342051
226, -3695129, -54278.4412, -115.342965
227, -3591487, -54278.8715, -115.343880
228, -3468485, -54279.3017, -115.344794
229, -3327453, -54279.7319, -115.345708
230, -3169990, -54280.1622, -115.346622
231, -2997334, -54280.5924, -115.347537
232, -2809916, -54281.0226, -115.348451
233, -2607278, -54281.4528, -115.349365
234, -2388455, -54281.8831, -115.350279
235, -2152676, -54282.3133, -115.351194
236, -1900134, -54282.7435, -115.352108
237, -1632528, -54283.1738, -115.353022
238, -1353199, -54283.6040, -115.353936
239, -1066831, -54284.0342, -115.354851
240, -778878, -54284.4645, -115.355765
241, -494891, -54284.8947, -115.356679
242, -219962, -54285.3249, -115.357593
243, 41662, -54285.7551, -115.358508
244, 286687, -54286.1854, -115.359422
245, 512653, -54286.6156, -115.360336
246, 717563, -54287.0458, -115.361250
247, 899435, -54287.4761, -115.362165
248, 1055905, -54287.9063, -115.363079
249, 1184110, -54288.3365, -115.363993
250, 1280878, -54288.7667, -115.364907
251, 1343163, -54289.1970, -115.365821
252, 1368475, -54289.6272, -115.366736
253, 1355171, -54290.0574, -115.367650
254, 1302565, -54290.4877, -115.368564
255, 1211012, -54290.9179, -115.369478
256, 1082128, -54291.3481, -115.370393
257, 919138, -54291.7783, -115.371307
258, 727254, -54292.2086, -115.372221
259, 513802, -54292.6388, -115.373135
260, 287911, -54293.0690, -115.374050
261, 59736, -54293.4993, -115.374964
262, -160646, -54293.9295, -115.375878
263, -364390, -54294.3597, -115.376792
264, -544848, -54294.7899, -115.377707
265, -698163, -54295.2202, -115.378621
266, -823439, -54295.6504, -115.379535
267, -922521, -54296.0806, -115.380449
268, -999433, -54296.5109, -115.381364
269, -1059534, -54296.9411, -115.382278
270, -1108546, -54297.3713, -115.383192
271, -1151618, -54297.8016, -115.384106
272, -1192648, -54298.2318, -115.385021
273, -1233949, -54298.6620, -115.385935
274, -1276272, -54299.0922, -115.386849
275, -1319045, -54299.5225, -115.387763
276, -1360696, -54299.9527, -115.388678
277, -1399000, -54300.3829, -115.389592
278, -1431426, -54300.8132, -115.390506
279, -1455559, -54301.2434, -115.391420
280, -1469537, -54301.6736, -115.392335
281, -1472454, -54302.1038, -115.393249
282, -1464581, -54302.5341, -115.394163
283, -1447323, -54302.9643, -115.395077
284, -1422855, -54303.3945, -115.395992
285, -1393570, -54303.8248, -115.396906
286, -1361446, -54304.2550, -115.397820
287, -1327549, -54304.6852, -115.398734
288, -1291795, -54305.1154, -115.399649
289, -1253022, -54305.5457, -115.400563
290, -1209327, -54305.9759, -115.401477
291, -1158566, -54306.4061, -115.402391
292, -1098857, -54306.8364, -115.403306
293, -1028967, -54307.2666, -115.404220
294, -948535, -54307.6968, -115.405134
295, -858145, -54308.1270, -115.406048
296, -759299, -54308.5573, -115.406963
297, -654347, -54308.9875, -115.407877
298, -546464, -54309.4177, -115.408791
299, -439687, -54309.8480, -115.409705
300, -339021, -54310.2782, -115.410620
301, -250491, -54310.7084, -115.411534
302, -181002, -54311.1387, -115.412448
303, -137925, -54311.5689, -115.413362
304, -128400, -54311.9991, -115.414277
305, -158503, -54312.4293, -115.415191
306, -232468, -54312.8596, -115.416105
307, -352110, -54313.2898, -115.417019
308, -516583, -54313.7200, -115.417934
309, -722478, -54314.1503, -115.418848
310, -964232, -54314.5805, -115.419762
311, -1234740, -54315.0107, -115.420676
312, -1526061, -54315.4409, -115.421591
313, -1830104, -54315.8712, -115.422505
314, -2139230, -54316.3014, -115.423419
315, -2446729, -54316.7316, -115.424333
316, -2747163, -54317.1619, -115.425248
317, -3036547, -54317.5921, -115.426162
318, -3312379, -54318.0223, -115.427076
319, -3573497, -54318.4525, -115.427990
320, -3819769, -54318.8828, -115.428905
321, -4051707, -54319.3130, -115.429819
322, -4270049, -54319.7432, -115.430733
323, -4475461, -54320.1735, -115.431647
324, -4668433, -54320.6037, -115.432562
325, -4849351, -54321.0339, -115.433476
326, -5018648, -54321.4641, -115.434390
327, -5176867, -54321.8944, -115.435304
328, -5324572, -54322.3246, -115.436218
329, -5462147, -54322.7548, -115.437133
330, -5589617, -54323.1851, -115.438047
331, -5706590, -54323.6153, -115.438961
332, -5812372, -54324.0455, -115.439875
333, -5906225, -54324.4758, -115.440790
334, -5987708, -54324.9060, -115.441704
335, -6057031, -54325.3362, -115.442618
336, -6115340, -54325.7664, -115.443532
337, -6164838, -54326.1967, -115.444447
338, -6208632, -54326.6269, -115.445361
339, -6250289, -54327.0571, -115.446275
340, -6293190, -54327.4874, -115.447189
341, -6339833, -54327.9176, -115.448104
342, -6391270, -54328.3478, -115.449018
343, -6446843, -54328.7780, -115.449932
344, -6504265, -54329.2083, -115.450846
345, -6559986, -54329.6385, -115.451761
346, -6609724, -54330.0687, -115.452675
347, -6648963, -54330.4990, -115.453589
348, -6673350, -54330.9292, -115.454503
349, -6678925, -54331.3594, -115.455418
350, -6662302, -54331.7896, -115.456332
351, -6620829, -54332.2199, -115.457246
352, -6552809, -54332.6501, -115.458160
353, -6457706, -54333.0803, -115.459075
354, -6336259, -54333.5106, -115.459989
355, -6190442, -54333.9408, -115.460903
356, -6023260, -54334.3710, -115.461817
357, -5838498, -54334.8012, -115.462732
358, -5640497, -54335.2315, -115.463646
359, -5433957, -54335.6617, -115.464560
360, -5223730, -54336.0919, -115.465474
361, -5014484, -54336.5222, -115.466389
362, -4810259, -54336.9524, -115.467303
363, -4613990, -54337.3826, -115.468217
364, -4427129, -54337.8128, -115.469131
365, -4249606, -54338.2431, -115.470046
366, -4080169, -54338.6733, -115.470960
367, -3917111, -54339.1035, -115.471874
368, -3759164, -54339.5338, -115.472788
369, -3606284, -54339.9640, -115.473703
370, -3460049, -54340.3942, -115.474617
371, -3323597, -54340.8245, -115.475531
372, -3201151, -54341.2547, -115.476445
373, -3097366, -54341.6849, -115.477360
374, -3016688, -54342.1151, -115.478274
375, -2962864, -54342.5454, -115.479188
376, -2938650, -54342.9756, -115.480102
377, -2945636, -54343.4058, -115.481017
378, -2984146, -54343.8361, -115.481931
379, -3053155, -54344.2663, -115.482845
380, -3150279, -54344.6965, -115.483759
381, -3271892, -54345.1267, -115.484674
382, -3413433, -54345.5570, -115.485588
383, -3569850, -54345.9872, -115.486502
384, -3736065, -54346.4174, -115.487416
385, -3907272, -54346.8477, -115.488331
386, -4078972, -54347.2779, -115.489245
387, -4246754, -54347.7081, -115.490159
388, -4406010, -54348.1383, -115.491073
389, -4551786, -54348.5686, -115.491988
390, -4678938, -54348.9988, -115.492902
391, -4782551, -54349.4290, -115.493816
392, -4858485, -54349.8593, -115.494730
393, -4903829, -54350.2895, -115.495645
394, -4917177, -54350.7197, -115.496559
395, -4898659, -54351.1499, -115.497473
396, -4849809, -54351.5802, -115.498387
397, -4773314, -54352.0104, -115.499302
398, -4672775, -54352.4406, -115.500216
399, -4552500, -54352.8709, -115.501130
400, -4417398, -54353.3011, -115.502044
401, -4272895, -54353.7313, -115.502959
402, -4124820, -54354.1616, -115.503873
403, -3979158, -54354.5918, -115.504787
404, -3841675, -54355.0220, -115.505701
405, -3717435, -54355.4522, -115.506615
406, -3610303, -54355.8825, -115.507530
407, -3522509, -54356.3127, -115.508444
408, -3454365, -54356.7429, -115.509358
409, -3404220, -54357.1732, -115.510272
410, -3368716, -54357.6034, -115.511187
411, -3343329, -54358.0336, -115.512101
412, -3323128, -54358.4638, -115.513015
413, -3303595, -54358.8941, -115.513929
414, -3281364, -54359.3243, -115.514844
415, -3254767, -54359.7545, -115.515758
416, -3224086, -54360.1848, -115.516672
417, -3191528, -54360.6150, -115.517586
418, -3160906, -54361.0452, -115.518501
419, -3137038, -54361.4754, -115.519415
420, -3124940, -54361.9057, -115.520329
421, -3128914, -54362.3359, -115.521243
422, -3151781, -54362.7661, -115.522158
423, -3194387, -54363.1964, -115.523072
424, -3255467, -54363.6266, -115.523986
425, -3331789, -54364.0568, -115.524900
426, -3418454, -54364.4870, -115.525815
427, -3509277, -54364.9173, -115.526729
428, -3597247, -54365.3475, -115.527643
429, -3675149, -54365.7777, -115.528557
430, -3736310, -54366.2080, -115.529472
431, -3775410, -54366.6382, -115.530386
432, -3789121, -54367.0684, -115.531300
433, -3776448, -54367.4987, -115.532214
434, -3738699, -54367.9289, -115.533129
435, -3679219, -54368.3591, -115.534043
436, -3602963, -54368.7893, -115.534957
437, -3516009, -54369.2196, -115.535871
438, -3424971, -54369.6498, -115.536786
439, -3336330, -54370.0800, -115.537700
440, -3255795, -54370.5103, -115.538614
441, -3187839, -54370.9405, -115.539528
442, -3135531, -54371.3707, -115.540443
443, -3100684, -54371.8009, -115.541357
444, -3084181, -54372.2312, -115.542271
